iter	Passed	Remaining
0	3	352
1	6	341
2	10	333
3	13	322
4	16	314
5	19	310
6	22	304
7	26	300
8	29	295
9	31	286
10	35	284
11	38	280
12	41	276
13	44	271
14	47	269
15	50	265
16	54	264
17	57	261
18	60	258
19	63	254
20	66	250
21	69	247
22	72	242
23	75	238
24	78	235
25	81	231
26	84	228
27	87	225
28	90	221
29	93	218
30	96	214
31	99	211
32	102	208
33	105	204
34	108	201
35	111	198
36	114	194
37	117	191
38	119	187
39	122	184
40	125	181
41	129	178
42	132	175
43	134	171
44	137	168
45	140	165
46	143	161
47	146	158
48	149	155
49	152	152
50	155	149
51	158	145
52	161	142
53	164	140
54	167	136
55	170	133
56	173	130
57	176	127
58	179	124
59	182	121
60	185	118
61	188	115
62	190	112
63	193	109
64	196	106
65	199	103
66	203	100
67	205	96
68	208	93
69	212	90
70	215	87
71	218	84
72	221	82
73	224	79
74	228	76
75	230	72
76	233	69
77	237	66
78	240	63
79	243	60
80	246	57
81	249	54
82	252	51
83	255	48
84	258	45
85	261	42
86	264	39
87	267	36
88	270	33
89	273	30
90	276	27
91	279	24
92	282	21
93	285	18
94	288	15
95	291	12
96	294	9
97	297	6
98	300	3
99	303	0
